  simcom164.5, 0.0, 141.0, 90.0, 180.0, -90.0
  simcom179.2, 35.4, 141.0, 90.0, 180.0, -90.0
  simcom215.5, 50.0, 141.0, 90.0, 180.0, -90.0
  simcom249.8, 35.4, 141.0, 90.0, 180.0, -90.0
  simcom264.5, 0.0, 141.0, 90.0, 180.0, -90.0
  simcom249.8, -35.4, 141.0, 90.0, 180.0, -90.0
  simcom214.5, -50.0, 141.0, 90.0, 180.0, -90.0
  simcom179.2, -35.4, 141.0, 90.0, 180.0, -90.0
  simcom214.5, 0.0, 141.0, 90.0, 180.0, -90.0  
  simcom264.5, 0.0, 141.0, 0.0, 90.0, 0.0
  simcom164.5, 100.0, 141.0, 90.0, 90.0, 0.0
  simcom164.5, -100.0, 141.0, 90.0, -90.0, 0.0
